simulated_k70_l25_128,MST_63,SEQ_2,MST_27,SEQ_1,simulated_k70_l25_105,SEQ_14,MST_30,SEQ_13,SEQ_31,MST_59,MST_60,MST_42,SEQ_28,MST_8,SEQ_24,simulated_k70_l25_107,MST_9,simulated_k70_l25_102,simulated_k70_l25_68,SEQ_42,MST_57,simulated_k70_l25_64,SEQ_48,simulated_k70_l25_54,MST_25,simulated_k70_l25_26,SEQ_56,simulated_k70_l25_28,simulated_k70_l25_58,simulated_k70_l25_74,SEQ_6,MST_13,SEQ_29,SEQ_62,simulated_k70_l25_82,simulated_k70_l25_138,simulated_k70_l25_113,SEQ_59,simulated_k70_l25_81,SEQ_37,MST_2,MST_61,simulated_k70_l25_19,MST_48,simulated_k70_l25_65,simulated_k70_l25_76,simulated_k70_l25_92,simulated_k70_l25_135,SEQ_33,MST_26,simulated_k70_l25_106,simulated_k70_l25_115,SEQ_15,MST_6,SEQ_20,simulated_k70_l25_118,SEQ_49,SEQ_63,SEQ_51,simulated_k70_l25_117,SEQ_7,simulated_k70_l25_122,SEQ_43,SEQ_21,MST_17,simulated_k70_l25_88,simulated_k70_l25_137,MST_1,MST_44,SEQ_30,SEQ_8,simulated_k70_l25_125,SEQ_52,simulated_k70_l25_44,MST_39,simulated_k70_l25_66,MST_22,MST_38,MST_10,simulated_k70_l25_133,SEQ_22,SEQ_44,MST_21,simulated_k70_l25_111,simulated_k70_l25_129,MST_32,SEQ_12,SEQ_35,SEQ_41,simulated_k70_l25_60,simulated_k70_l25_131,SEQ_54,SEQ_55,simulated_k70_l25_116,SEQ_47,SEQ_5,SEQ_32,SEQ_38,MST_52,SEQ_40,MST_45,SEQ_4,SEQ_26,simulated_k70_l25_50,MST_11,SEQ_53,simulated_k70_l25_96,simulated_k70_l25_90,SEQ_9,SEQ_34,MST_5,SEQ_60,simulated_k70_l25_20,MST_55,MST_12,MST_24,MST_47,simulated_k70_l25_132,SEQ_18,simulated_k70_l25_36,simulated_k70_l25_89,simulated_k70_l25_70,SEQ_25,simulated_k70_l25_136,MST_64,MST_53,simulated_k70_l25_49,MST_18,simulated_k70_l25_100,simulated_k70_l25_126,MST_56,MST_20,simulated_k70_l25_91,MST_33,SEQ_11,simulated_k70_l25_114,SEQ_10,SEQ_50,SEQ_36,MST_14,MST_28,SEQ_17,simulated_k70_l25_62,simulated_k70_l25_130,MST_40,MST_41,simulated_k70_l25_94,simulated_k70_l25_99,simulated_k70_l25_134,SEQ_19,MST_19,SEQ_57,SEQ_39,simulated_k70_l25_108,MST_23,MST_36,simulated_k70_l25_95,MST_43,SEQ_27,simulated_k70_l25_32,SEQ_23,SEQ_16,SEQ_58,MST_37,simulated_k70_l25_52,simulated_k70_l25_84,MST_49,SEQ_45,simulated_k70_l25_112,MST_15,MST_35,MST_4,MST_34,MST_46,MST_58,MST_62,SEQ_0,SEQ_46,simulated_k70_l25_120,simulated_k70_l25_98,SEQ_3,simulated_k70_l25_110,simulated_k70_l25_57,MST_50,SEQ_61,simulated_k70_l25_121,MST_31,simulated_k70_l25_124,simulated_k70_l25_109,MST_54,MST_7,simulated_k70_l25_80,simulated_k70_l25_104,MST_29,MST_3,MST_16,MST_51
16.0,16.0,1.0,7.0,1.0,,7.0,7.0,10.0,8.0,11.0,15.0,10.0,7.0,5.0,7.0,,6.0,,,10.0,11.0,,12.0,,7.0,,11.0,,,,5.0,8.0,7.0,16.0,,18.0,13.0,16.0,,10.0,8.0,15.0,,12.0,,,,15.0,10.0,7.0,,18.0,10.0,3.0,6.0,12.0,10.0,17.0,11.0,8.0,6.0,6.0,10.0,7.0,9.0,,18.0,8.0,10.0,8.0,7.0,15.0,11.0,,10.0,,7.0,10.0,7.0,16.0,7.0,10.0,7.0,,8.0,8.0,8.0,10.0,10.0,,5.0,11.0,11.0,15.0,12.0,4.0,10.0,9.0,11.0,10.0,10.0,3.0,8.0,,7.0,11.0,,,7.0,11.0,2.0,16.0,,11.0,7.0,7.0,12.0,5.0,7.0,,,,8.0,15.0,17.0,11.0,,10.0,,15.0,11.0,8.0,,7.0,6.0,14.0,7.0,10.0,10.0,8.0,7.0,11.0,,10.0,9.0,10.0,,,16.0,7.0,10.0,11.0,10.0,,9.0,11.0,,10.0,8.0,,7.0,9.0,11.0,11.0,,,12.0,12.0,0.0,9.0,10.0,5.0,11.0,12.0,11.0,19.0,1.0,12.0,7.0,,3.0,,,12.0,19.0,6.0,7.0,8.0,,11.0,4.0,,,8.0,4.0,10.0,12.0
,12.0,1.0,8.0,0.0,,4.0,9.0,0.0,9.0,12.0,10.0,10.0,9.0,,8.0,,,,,10.0,12.0,,12.0,,8.0,,12.0,,,,6.0,,9.0,12.0,,,,11.0,,10.0,,11.0,,12.0,,,,,10.0,8.0,,,6.0,,7.0,,11.0,13.0,12.0,,8.0,,10.0,8.0,6.0,,,,10.0,9.0,7.0,,12.0,,10.0,,6.0,10.0,,,9.0,10.0,6.0,,,9.0,0.0,10.0,10.0,,,12.0,12.0,,12.0,3.0,11.0,10.0,11.0,10.0,10.0,2.0,8.0,,,12.0,,,5.0,11.0,,11.0,,12.0,,9.0,12.0,,5.0,,,,9.0,,13.0,12.0,,6.0,,,12.0,7.0,,8.0,2.0,,3.0,11.0,10.0,,10.0,8.0,,,10.0,9.0,,,,8.0,6.0,12.0,9.0,,8.0,11.0,,10.0,8.0,,9.0,8.0,12.0,11.0,,,12.0,11.0,,0.0,10.0,,11.0,11.0,12.0,10.0,0.0,12.0,,,2.0,,,12.0,10.0,,9.0,,,12.0,,,,8.0,,5.0,12.0
,18.0,1.0,,0.0,,9.0,,11.0,2.0,5.0,16.0,4.0,2.0,,8.0,,,,,4.0,5.0,,5.0,,,,5.0,,,,5.0,,2.0,18.0,,,,18.0,,4.0,,16.0,,5.0,,,,,0.0,,,,12.0,,10.0,,4.0,19.0,5.0,,7.0,,4.0,8.0,,,,,4.0,2.0,6.0,,5.0,,4.0,,,4.0,,,9.0,4.0,,,,,9.0,4.0,4.0,,,5.0,5.0,,5.0,6.0,1.0,5.0,5.0,4.0,4.0,4.0,4.0,,,5.0,,,5.0,1.0,,15.0,,5.0,,,5.0,,8.0,,,,9.0,,19.0,5.0,,,,,5.0,,,,4.0,,4.0,4.0,4.0,,,11.0,,,5.0,5.0,,,,7.0,,5.0,5.0,,,1.0,,4.0,4.0,,9.0,10.0,5.0,1.0,,,5.0,4.0,,,0.0,,,4.0,5.0,18.0,0.0,5.0,,,4.0,,,5.0,18.0,,,,,5.0,,,,,,,5.0
,4.0,0.0,4.0,0.0,,2.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,0.0,4.0,,0.0,,,5.0,5.0,,5.0,,4.0,,5.0,,,,0.0,1.0,4.0,4.0,,,,4.0,,6.0,,7.0,,5.0,,,,,5.0,4.0,,,3.0,0.0,5.0,,5.0,5.0,5.0,,0.0,,5.0,4.0,1.0,,,,5.0,3.0,1.0,,5.0,,6.0,,3.0,6.0,1.0,,4.0,5.0,3.0,,,3.0,1.0,6.0,5.0,,,5.0,5.0,,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,3.0,,3.0,5.0,,,1.0,6.0,0.0,6.0,,5.0,1.0,4.0,5.0,,2.0,,,,5.0,,5.0,5.0,,3.0,,,5.0,3.0,,3.0,1.0,,1.0,5.0,6.0,1.0,4.0,3.0,,,5.0,5.0,,,,4.0,3.0,5.0,5.0,,2.0,6.0,,5.0,3.0,,4.0,3.0,5.0,6.0,,,5.0,5.0,,3.0,5.0,0.0,6.0,5.0,5.0,6.0,0.0,5.0,,,0.0,,,5.0,6.0,,4.0,,,5.0,0.0,,,3.0,,4.0,5.0
,18.0,1.0,,1.0,,9.0,,11.0,1.0,7.0,17.0,5.0,2.0,,9.0,,,,,5.0,7.0,,7.0,,,,7.0,,,,6.0,,2.0,18.0,,,,19.0,,6.0,,18.0,,7.0,,,,,2.0,,,,12.0,,10.0,,6.0,19.0,7.0,,7.0,,5.0,9.0,,,,,5.0,2.0,8.0,,7.0,,6.0,,,6.0,,,9.0,5.0,,,,,9.0,6.0,5.0,,,7.0,7.0,,7.0,5.0,1.0,4.0,6.0,5.0,5.0,4.0,4.0,,,7.0,,,7.0,4.0,,17.0,,7.0,,,7.0,,7.0,,,,9.0,,19.0,7.0,,,,,7.0,,,,5.0,,6.0,6.0,6.0,,,12.0,,,4.0,5.0,,,,7.0,,7.0,5.0,,,4.0,,5.0,4.0,,9.0,12.0,7.0,4.0,,,7.0,6.0,,,2.0,,0.0,6.0,7.0,17.0,1.0,7.0,,,4.0,,,7.0,17.0,,,,,7.0,,,,,,,7.0
,17.0,1.0,,1.0,,8.0,,11.0,5.0,2.0,17.0,,6.0,,9.0,,,,,0.0,2.0,,2.0,,,,2.0,,,,6.0,,6.0,17.0,,,,18.0,,5.0,,18.0,,2.0,,,,,4.0,,,,13.0,,9.0,,2.0,20.0,2.0,,8.0,,1.0,9.0,,,,,,4.0,9.0,,2.0,,,,,,,,9.0,1.0,,,,,10.0,5.0,0.0,,,2.0,2.0,,2.0,5.0,5.0,1.0,2.0,0.0,,4.0,7.0,,,2.0,,,7.0,7.0,,17.0,,2.0,,,2.0,,7.0,,,,9.0,,20.0,2.0,,,,,2.0,,,,7.0,,7.0,3.0,5.0,,,12.0,,,,,,,,8.0,,2.0,1.0,,,,,,7.0,,9.0,11.0,2.0,,,,2.0,1.0,,,,,,0.0,2.0,16.0,1.0,2.0,,,4.0,,,2.0,16.0,,,,,2.0,,,,,,,2.0
,18.0,0.0,,0.0,,9.0,,11.0,6.0,0.0,17.0,,5.0,,10.0,,,,,1.0,,,3.0,,,,0.0,,,,7.0,,5.0,18.0,,,,18.0,,5.0,,17.0,,,,,,,5.0,,,,12.0,,9.0,,1.0,19.0,0.0,,7.0,,2.0,10.0,,,,,,5.0,8.0,,0.0,,,,,,,,10.0,2.0,,,,,11.0,5.0,1.0,,,0.0,0.0,,3.0,5.0,6.0,2.0,,1.0,,4.0,7.0,,,0.0,,,6.0,6.0,,16.0,,,,,,,8.0,,,,9.0,,19.0,,,,,,,,,,7.0,,7.0,1.0,5.0,,,12.0,,,,,,,,8.0,,0.0,2.0,,,,,,7.0,,10.0,11.0,0.0,,,,,2.0,,,,,,,0.0,16.0,0.0,3.0,,,4.0,,,,16.0,,,,,,,,,,,,
,13.0,2.0,,2.0,,13.0,,10.0,17.0,,,,15.0,,13.0,,,,,15.0,,,17.0,,,,16.0,,,,5.0,,15.0,13.0,,,,15.0,,18.0,,,,,,,,,18.0,,,,15.0,,15.0,,17.0,15.0,16.0,,7.0,,16.0,14.0,,,,,,16.0,8.0,,16.0,,,,,,,,15.0,16.0,,,,,10.0,18.0,15.0,,,16.0,16.0,,17.0,2.0,17.0,16.0,,15.0,,3.0,14.0,,,16.0,,,7.0,18.0,,8.0,,,,,,,13.0,,,,16.0,,15.0,,,,,,,,,,7.0,,6.0,17.0,18.0,,,14.0,,,,,,,,14.0,,16.0,16.0,,,,,,14.0,,15.0,14.0,16.0,,,,,16.0,,,,,,,,0.0,2.0,17.0,,,3.0,,,,0.0,,,,,,,,,,,,
,,0.0,,0.0,,0.0,,0.0,1.0,,,,0.0,,1.0,,,,,1.0,,,0.0,,,,0.0,,,,0.0,,0.0,1.0,,,,0.0,,1.0,,,,,,,,,0.0,,,,1.0,,1.0,,1.0,2.0,0.0,,1.0,,1.0,1.0,,,,,,1.0,0.0,,0.0,,,,,,,,1.0,1.0,,,,,0.0,1.0,1.0,,,0.0,0.0,,0.0,0.0,1.0,1.0,,1.0,,0.0,1.0,,,0.0,,,0.0,0.0,,1.0,,,,,,,0.0,,,,1.0,,,,,,,,,,,,0.0,,0.0,1.0,1.0,,,1.0,,,,,,,,1.0,,0.0,0.0,,,,,,1.0,,1.0,0.0,0.0,,,,,1.0,,,,,,,,,0.0,0.0,,,0.0,,,,2.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,3.0,,,,,,,19.0,,,,19.0,,,,,,,,,,,,,,,,,,,3.0,21.0,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,3.0,3.0,,0.0,,,,,,,,,,,3.0,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,0.0,,,,,,,17.0,,,,,,,,,,,,
17.0,16.0,1.0,12.0,1.0,,10.0,8.0,11.0,7.0,10.0,17.0,9.0,8.0,7.0,9.0,,8.0,,,9.0,10.0,,11.0,,9.0,,10.0,,,,6.0,8.0,8.0,16.0,,15.0,,19.0,,9.0,7.0,17.0,,11.0,,,,16.0,9.0,9.0,,,11.0,4.0,9.0,,9.0,18.0,10.0,,8.0,7.0,9.0,9.0,10.0,,16.0,8.0,9.0,7.0,8.0,13.0,10.0,,9.0,,7.0,9.0,8.0,18.0,10.0,9.0,7.0,,9.0,7.0,10.0,9.0,9.0,,4.0,10.0,10.0,,11.0,3.0,9.0,8.0,10.0,9.0,9.0,4.0,7.0,,9.0,10.0,,,8.0,10.0,2.0,15.0,,10.0,8.0,10.0,11.0,4.0,10.0,,,,12.0,16.0,18.0,10.0,,12.0,,13.0,10.0,8.0,,6.0,7.0,,8.0,9.0,9.0,10.0,10.0,11.0,,11.0,8.0,9.0,,,18.0,9.0,12.0,10.0,9.0,,9.0,10.0,,9.0,7.0,,10.0,10.0,10.0,10.0,,,11.0,11.0,,11.0,9.0,4.0,10.0,11.0,10.0,18.0,1.0,11.0,0.0,,4.0,,,11.0,18.0,7.0,8.0,7.0,,10.0,3.0,,,7.0,6.0,11.0,11.0
17.0,17.0,1.0,10.0,1.0,19.0,9.0,6.0,10.0,9.0,9.0,16.0,9.0,6.0,4.0,9.0,6.0,5.0,5.0,,9.0,9.0,,9.0,,9.0,,9.0,,,,4.0,8.0,6.0,17.0,,16.0,14.0,18.0,,10.0,8.0,16.0,,9.0,,,,16.0,11.0,9.0,17.0,15.0,10.0,3.0,10.0,6.0,9.0,20.0,9.0,6.0,5.0,10.0,9.0,10.0,9.0,,16.0,7.0,9.0,7.0,7.0,14.0,9.0,,10.0,,8.0,10.0,7.0,16.0,10.0,9.0,8.0,13.0,4.0,7.0,10.0,10.0,9.0,,9.0,9.0,9.0,15.0,9.0,4.0,11.0,8.0,9.0,9.0,9.0,3.0,7.0,,6.0,9.0,,,6.0,10.0,2.0,15.0,,9.0,6.0,10.0,9.0,9.0,10.0,,,,10.0,16.0,20.0,9.0,,10.0,4.0,14.0,9.0,9.0,,9.0,7.0,14.0,7.0,8.0,10.0,9.0,8.0,9.0,,2.0,8.0,8.0,,7.0,16.0,8.0,10.0,9.0,8.0,7.0,11.0,10.0,,9.0,7.0,,10.0,10.0,9.0,10.0,,,9.0,10.0,12.0,10.0,11.0,5.0,12.0,10.0,9.0,19.0,1.0,9.0,11.0,0.0,3.0,14.0,,9.0,19.0,10.0,6.0,9.0,15.0,9.0,4.0,,6.0,7.0,5.0,8.0,9.0
,,,,,,2.0,,2.0,3.0,,,,2.0,,4.0,,,,,4.0,,,5.0,,,,4.0,,,,0.0,,2.0,3.0,,,,2.0,,4.0,,,,,,,,,4.0,,,,2.0,,4.0,,4.0,3.0,4.0,,0.0,,4.0,4.0,,,,,,2.0,0.0,,4.0,,,,,,,,3.0,4.0,,,,,2.0,4.0,4.0,,,4.0,4.0,,5.0,0.0,4.0,3.0,,4.0,,0.0,4.0,,,4.0,,,0.0,4.0,,2.0,,,,,,,1.0,,,,3.0,,,,,,,,,,,,1.0,,1.0,3.0,4.0,,,3.0,,,,,,,,3.0,,4.0,4.0,,,,,,4.0,,3.0,3.0,4.0,,,,,4.0,,,,,,,,,,5.0,,,0.0,,,,3.0,,,,,,,,,,,,
17.0,17.0,1.0,11.0,1.0,,13.0,12.0,13.0,15.0,13.0,15.0,13.0,12.0,5.0,11.0,,7.0,,,13.0,13.0,,15.0,,11.0,,13.0,,,,5.0,10.0,12.0,17.0,,16.0,21.0,17.0,,14.0,8.0,16.0,,15.0,,,,18.0,15.0,11.0,,6.0,15.0,3.0,15.0,16.0,14.0,17.0,13.0,14.0,7.0,19.0,14.0,12.0,12.0,,15.0,8.0,13.0,12.0,8.0,12.0,13.0,,14.0,,12.0,14.0,8.0,18.0,11.0,14.0,14.0,16.0,17.0,12.0,12.0,14.0,13.0,,17.0,13.0,13.0,7.0,15.0,4.0,15.0,14.0,13.0,13.0,13.0,3.0,14.0,,9.0,13.0,,,8.0,15.0,2.0,16.0,,13.0,8.0,11.0,15.0,17.0,13.0,,,,12.0,18.0,17.0,13.0,,14.0,,12.0,13.0,13.0,,13.0,9.0,20.0,8.0,14.0,14.0,11.0,13.0,14.0,,16.0,14.0,14.0,,,18.0,13.0,14.0,13.0,14.0,,13.0,15.0,,13.0,14.0,,11.0,13.0,13.0,15.0,,,15.0,15.0,15.0,13.0,15.0,6.0,16.0,14.0,13.0,18.0,1.0,15.0,18.0,,3.0,0.0,,15.0,18.0,18.0,12.0,18.0,,13.0,4.0,,,14.0,6.0,11.0,15.0
16.0,16.0,1.0,9.0,1.0,18.0,8.0,9.0,10.0,11.0,12.0,15.0,12.0,9.0,4.0,8.0,9.0,6.0,8.0,17.0,12.0,12.0,14.0,12.0,,8.0,,12.0,,5.0,8.0,4.0,7.0,9.0,16.0,14.0,16.0,12.0,17.0,13.0,12.0,7.0,16.0,,12.0,14.0,17.0,11.0,15.0,11.0,8.0,16.0,18.0,11.0,3.0,9.0,7.0,13.0,19.0,12.0,7.0,6.0,12.0,12.0,8.0,10.0,14.0,16.0,8.0,12.0,10.0,7.0,14.0,12.0,,12.0,15.0,8.0,12.0,7.0,17.0,8.0,12.0,9.0,13.0,5.0,10.0,8.0,12.0,12.0,11.0,11.0,12.0,12.0,16.0,12.0,4.0,10.0,11.0,12.0,12.0,12.0,3.0,8.0,,7.0,12.0,16.0,17.0,7.0,11.0,2.0,17.0,,12.0,7.0,8.0,12.0,11.0,8.0,,17.0,14.0,8.0,15.0,19.0,12.0,,10.0,7.0,14.0,12.0,9.0,10.0,9.0,6.0,12.0,7.0,13.0,12.0,8.0,8.0,9.0,12.0,5.0,11.0,11.0,16.0,10.0,17.0,9.0,10.0,12.0,11.0,8.0,10.0,11.0,14.0,12.0,8.0,,8.0,10.0,12.0,11.0,,16.0,12.0,13.0,10.0,9.0,11.0,6.0,12.0,13.0,12.0,19.0,1.0,12.0,13.0,7.0,3.0,15.0,0.0,12.0,19.0,10.0,9.0,12.0,16.0,12.0,4.0,9.0,9.0,8.0,5.0,8.0,12.0
,19.0,0.0,,0.0,,9.0,,12.0,6.0,3.0,18.0,,6.0,,10.0,,,,,2.0,3.0,,0.0,,,,3.0,,,,7.0,,6.0,19.0,,,,19.0,,6.0,,19.0,,,,,,,5.0,,,,13.0,,10.0,,3.0,21.0,3.0,,8.0,,1.0,10.0,,,,,,5.0,8.0,,3.0,,,,,,,,11.0,1.0,,,,,11.0,6.0,2.0,,,3.0,3.0,,0.0,6.0,6.0,3.0,0.0,2.0,,5.0,7.0,,,3.0,,,7.0,7.0,,18.0,,3.0,,,,,7.0,,,,11.0,,21.0,3.0,,,,,3.0,,,,8.0,,8.0,2.0,6.0,,,12.0,,,,,,,,8.0,,3.0,3.0,,,,,,7.0,,11.0,11.0,3.0,,,,,1.0,,,,,,,3.0,17.0,0.0,0.0,,,5.0,,,0.0,17.0,,,,,3.0,,,,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
18.0,17.0,1.0,9.0,1.0,,9.0,5.0,10.0,6.0,11.0,16.0,9.0,5.0,5.0,8.0,,7.0,,,9.0,11.0,,10.0,,8.0,,11.0,,,,5.0,8.0,5.0,17.0,,15.0,,17.0,,10.0,8.0,16.0,,10.0,,,,17.0,8.0,8.0,,,11.0,3.0,10.0,,10.0,19.0,11.0,,7.0,4.0,8.0,8.0,11.0,,17.0,7.0,9.0,6.0,7.0,15.0,11.0,,10.0,,8.0,10.0,7.0,15.0,8.0,8.0,8.0,,8.0,6.0,9.0,10.0,9.0,,5.0,11.0,11.0,,10.0,3.0,8.0,8.0,9.0,9.0,9.0,3.0,8.0,,7.0,11.0,,,7.0,9.0,2.0,15.0,,11.0,8.0,8.0,10.0,5.0,9.0,,,,9.0,17.0,19.0,11.0,,11.0,,15.0,11.0,9.0,,5.0,6.0,,7.0,10.0,10.0,9.0,7.0,10.0,,8.0,8.0,9.0,,,15.0,8.0,11.0,11.0,9.0,,10.0,9.0,,9.0,8.0,,8.0,10.0,11.0,9.0,,,10.0,10.0,,9.0,8.0,6.0,9.0,11.0,11.0,18.0,1.0,10.0,,,3.0,,,10.0,18.0,0.0,5.0,6.0,,11.0,3.0,,,8.0,7.0,9.0,10.0
,15.0,1.0,,0.0,,8.0,,9.0,2.0,5.0,13.0,4.0,0.0,,5.0,,,,,4.0,5.0,,6.0,,,,5.0,,,,5.0,,0.0,15.0,,,,15.0,,5.0,,15.0,,6.0,,,,,2.0,,,,9.0,,8.0,,4.0,17.0,5.0,,6.0,,4.0,5.0,,,,,4.0,0.0,7.0,,5.0,,5.0,,,5.0,,,6.0,4.0,,,,0.0,10.0,5.0,4.0,,,5.0,5.0,,6.0,5.0,2.0,3.0,5.0,4.0,4.0,2.0,3.0,,,5.0,,,6.0,3.0,,13.0,,5.0,,,6.0,,7.0,,,,4.0,,17.0,5.0,,,,,5.0,,,1.0,6.0,,5.0,4.0,5.0,,,8.0,,,3.0,4.0,,,,7.0,,5.0,4.0,,,3.0,,4.0,3.0,,6.0,7.0,5.0,3.0,,,6.0,6.0,,,2.0,,2.0,6.0,5.0,15.0,0.0,6.0,,,2.0,,,6.0,15.0,,0.0,,,5.0,,,,,,,6.0
18.0,16.0,1.0,12.0,1.0,,8.0,6.0,10.0,8.0,13.0,15.0,11.0,6.0,5.0,10.0,,8.0,,,11.0,13.0,,12.0,,10.0,,13.0,,,,5.0,7.0,6.0,16.0,,16.0,,16.0,,12.0,8.0,15.0,,12.0,,,,17.0,10.0,10.0,,,8.0,3.0,10.0,,12.0,18.0,13.0,,8.0,,10.0,9.0,7.0,,18.0,8.0,11.0,7.0,7.0,17.0,13.0,,12.0,,8.0,12.0,7.0,15.0,10.0,10.0,9.0,,10.0,7.0,9.0,12.0,11.0,,3.0,13.0,13.0,,12.0,4.0,10.0,10.0,11.0,11.0,11.0,3.0,9.0,,7.0,13.0,,,7.0,11.0,2.0,14.0,,13.0,7.0,10.0,12.0,3.0,9.0,,,,12.0,17.0,18.0,13.0,,10.0,,17.0,13.0,10.0,,7.0,6.0,,7.0,12.0,12.0,8.0,9.0,9.0,,10.0,10.0,11.0,,,15.0,10.0,10.0,13.0,11.0,,9.0,11.0,,11.0,9.0,,10.0,8.0,13.0,11.0,,,12.0,12.0,,9.0,10.0,6.0,11.0,13.0,13.0,17.0,1.0,12.0,,,3.0,,,12.0,17.0,,6.0,0.0,,13.0,4.0,,,9.0,6.0,7.0,12.0
17.0,16.0,1.0,13.0,1.0,,14.0,13.0,12.0,15.0,14.0,16.0,13.0,13.0,6.0,13.0,,8.0,,,13.0,14.0,,14.0,,13.0,,14.0,,,,6.0,11.0,13.0,16.0,,17.0,22.0,18.0,,13.0,8.0,17.0,,14.0,,,,18.0,14.0,13.0,,7.0,15.0,3.0,16.0,16.0,14.0,18.0,14.0,14.0,8.0,19.0,14.0,14.0,14.0,,16.0,8.0,13.0,13.0,8.0,13.0,14.0,,13.0,,13.0,13.0,8.0,19.0,13.0,14.0,15.0,17.0,16.0,13.0,12.0,13.0,13.0,,17.0,14.0,14.0,4.0,14.0,5.0,15.0,14.0,14.0,13.0,13.0,3.0,14.0,,9.0,14.0,,,8.0,14.0,2.0,17.0,,14.0,8.0,13.0,14.0,17.0,14.0,,,,14.0,18.0,18.0,14.0,,15.0,,13.0,14.0,15.0,,13.0,10.0,21.0,8.0,15.0,13.0,11.0,13.0,15.0,,15.0,14.0,14.0,,,19.0,14.0,15.0,14.0,14.0,,15.0,14.0,,13.0,14.0,,13.0,14.0,14.0,14.0,,,14.0,15.0,15.0,13.0,14.0,6.0,16.0,14.0,14.0,17.0,1.0,14.0,19.0,,3.0,5.0,,14.0,17.0,18.0,13.0,18.0,0.0,14.0,5.0,,,14.0,7.0,12.0,14.0
,18.0,0.0,,0.0,,9.0,,11.0,6.0,0.0,17.0,,5.0,,10.0,,,,,1.0,0.0,,3.0,,,,0.0,,,,7.0,,5.0,18.0,,,,18.0,,5.0,,17.0,,,,,,,5.0,,,,12.0,,9.0,,1.0,19.0,0.0,,7.0,,2.0,10.0,,,,,,5.0,8.0,,0.0,,,,,,,,10.0,2.0,,,,,11.0,5.0,1.0,,,0.0,0.0,,3.0,5.0,6.0,2.0,,1.0,,4.0,7.0,,,0.0,,,6.0,6.0,,16.0,,0.0,,,,,8.0,,,,9.0,,19.0,,,,,,0.0,,,,7.0,,7.0,1.0,5.0,,,12.0,,,,,,,,8.0,,0.0,2.0,,,,,,7.0,,10.0,11.0,0.0,,,,,2.0,,,,,,,0.0,16.0,0.0,3.0,,,4.0,,,,16.0,,,,,0.0,,,,,,,
,2.0,0.0,4.0,0.0,,3.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,0.0,4.0,,1.0,,,5.0,5.0,,6.0,,4.0,,5.0,,,,0.0,1.0,5.0,2.0,,,,2.0,,5.0,,3.0,,6.0,,,,,6.0,4.0,,,3.0,,4.0,,5.0,6.0,5.0,,1.0,,5.0,4.0,3.0,,,,5.0,5.0,1.0,,5.0,,5.0,,4.0,5.0,1.0,,5.0,5.0,5.0,,,5.0,3.0,5.0,5.0,,,5.0,5.0,,6.0,0.0,5.0,4.0,6.0,5.0,5.0,0.0,5.0,,2.0,5.0,,,1.0,5.0,,3.0,,5.0,1.0,5.0,6.0,,4.0,,,,5.0,,6.0,5.0,,5.0,,,5.0,5.0,,4.0,1.0,,2.0,4.0,5.0,2.0,5.0,5.0,,,4.0,5.0,,,,5.0,5.0,5.0,5.0,,5.0,5.0,,5.0,5.0,,5.0,5.0,5.0,5.0,,,6.0,5.0,,3.0,6.0,,5.0,5.0,5.0,2.0,0.0,6.0,,,0.0,,,6.0,2.0,,5.0,,,5.0,0.0,,,5.0,,3.0,6.0
